id,first_name,last_name,email,gender,money
2,HOLMES,ATHOWE,HATHOWE1@TAOBAO.COM,MALE,BIRR
6,ZED,HOODSPETH,ZHOODSPETH5@COM.COM,MALE,RIAL
8,NOELANI,DODDEMEEDE,NDODDEMEEDE7@BARNESANDNOBLE.COM,FEMALE,RUBLE
11,JESSE,COLACO,JCOLACOA@MOZILLA.COM,FEMALE,YUAN RENMINBI
12,CRISTIAN,MAPPLETHORPE,CMAPPLETHORPEB@HP.COM,MALE,YUAN RENMINBI
17,KAMILA,GRIESWOOD,KGRIESWOODG@IRS.GOV,FEMALE,PESO
19,ADI,TWAITE,ATWAITEI@PRWEB.COM,FEMALE,RUBLE
24,NOAH,PHILLIS,NPHILLISN@INSTAGRAM.COM,MALE,EURO
26,BERNADETTE,MEATON,BMEATONP@WORDPRESS.ORG,FEMALE,KRONE
28,ALISTER,CREWES,ACREWESR@NASA.GOV,MALE,DINAR
31,AVIGDOR,FEAK,AFEAKU@DMOZ.ORG,MALE,SHILLING
35,RUDDIE,HARTLY,RHARTLYY@COM.COM,MALE,RUPIAH
37,JOCKO,CHURCHOUSE,JCHURCHOUSE10@INDEPENDENT.CO.UK,MALE,RUPIAH
40,CORDELIE,BLACKMORE,CBLACKMORE13@NBA.COM,FEMALE,EURO
42,HORTEN,FOLCA,HFOLCA15@TUTTOCITTA.IT,MALE,YUAN RENMINBI
46,LAURALEE,DORRITY,LDORRITY19@ADDTOANY.COM,FEMALE,KWACHA
48,MOISES,HEBBLETHWAITE,MHEBBLETHWAITE1B@WASHINGTONPOST.COM,MALE,RUBLE
52,MORRIS,NOORWOOD,MNOORWOOD1F@USATODAY.COM,MALE,BOLIVAR
53,GEORDIE,HALLING,GHALLING1G@FURL.NET,MALE,REAL
54,MAB,UREY,MUREY1H@NAROD.RU,FEMALE,ZLOTY
59,KINNA,BUCKNEY,KBUCKNEY1M@AUDA.ORG.AU,FEMALE,RUBLE
62,LURETTE,ANGLIN,LANGLIN1P@REVERBNATION.COM,FEMALE,YUAN RENMINBI
78,GINA,ALLSO,GALLSO25@NPS.GOV,FEMALE,DINAR
83,BERNHARD,WEILD,BWEILD2A@OVER-BLOG.COM,MALE,YUAN RENMINBI
86,BENNI,OPDENORT,BOPDENORT2D@XINHUANET.COM,FEMALE,PESO
90,MIKEY,SKAIFE,MSKAIFE2H@CHICAGOTRIBUNE.COM,MALE,YUAN RENMINBI
91,AIDAN,KUBELKA,AKUBELKA2I@BLOG.COM,FEMALE,YUAN RENMINBI
93,VICTOR,WISTANCE,VWISTANCE2K@SPOTIFY.COM,MALE,LEMPIRA
94,MYLES,DRIVERS,MDRIVERS2L@OCN.NE.JP,MALE,PESO
95,GASPAR,TINSLEY,GTINSLEY2M@CARGOCOLLECTIVE.COM,MALE,RUPIAH
97,CORRENA,HEDGER,CHEDGER2O@WILEY.COM,FEMALE,YUAN RENMINBI
98,JOEL,GOODGER,JGOODGER2P@LAST.FM,MALE,EURO
108,MARYA,CARETTE,MCARETTE2Z@FC2.COM,FEMALE,RUPIAH
110,TALYAH,PETROLLI,TPETROLLI31@LYCOS.COM,FEMALE,RUPIAH
112,BELL,KOLLACH,BKOLLACH33@DAGONDESIGN.COM,FEMALE,RUPIAH
115,CHICK,STANBOROUGH,CSTANBOROUGH36@JUGEM.JP,MALE,YUAN RENMINBI
116,EMMERICH,ABELA,EABELA37@GOOGLE.COM.HK,MALE,YUAN RENMINBI
118,REGINAULD,IZZETT,RIZZETT39@ARTISTEER.COM,MALE,YUAN RENMINBI
120,AUGUSTE,SPRINGATE,ASPRINGATE3B@TIMESONLINE.CO.UK,FEMALE,RUBLE
122,BLAKE,ZAPPEL,BZAPPEL3D@NYMAG.COM,MALE,LEMPIRA
123,COS,HAINEY`,CHAINEY3E@AMAZON.DE,MALE,YUAN RENMINBI
124,LESHIA,MACCLENAN,LMACCLENAN3F@MARKETWATCH.COM,FEMALE,EURO
131,KIMMI,DANIELLS,KDANIELLS3M@GO.COM,FEMALE,RIAL
132,WENDI,SPOSITO,WSPOSITO3N@BLOGSPOT.COM,FEMALE,REAL
135,KALE,PETTEGREE,KPETTEGREE3Q@ZDNET.COM,MALE,EURO
144,ALVIS,PATRIA,APATRIA3Z@TRELLIAN.COM,MALE,KRONA
151,KATRINE,VASECHKIN,KVASECHKIN46@HIBU.COM,FEMALE,DIRHAM
153,SHEM,BEEVENS,SBEEVENS48@NIFTY.COM,MALE,FRANC
156,STEFANO,GILFORD,SGILFORD4B@DIIGO.COM,MALE,DINAR
158,BEVERLEE,BIERMATOWICZ,BBIERMATOWICZ4D@YELLOWBOOK.COM,FEMALE,EURO
160,BABBIE,LOTHEAN,BLOTHEAN4F@NETLOG.COM,FEMALE,RUPIAH
163,GILDA,ROMAYNE,GROMAYNE4I@360.CN,FEMALE,YUAN RENMINBI
164,LIA,RICHIN,LRICHIN4J@NSW.GOV.AU,FEMALE,TENGE
165,BRONNY,RANSLEY,BRANSLEY4K@LIST-MANAGE.COM,MALE,DOLLAR
168,ERMENGARDE,VASSALL,EVASSALL4N@LIVEINTERNET.RU,FEMALE,YUAN RENMINBI
170,NESSY,HEDDITEH,NHEDDITEH4P@COMCAST.NET,FEMALE,PESO
171,CLAUDIO,FRUCHON,CFRUCHON4Q@SYMANTEC.COM,MALE,YUAN RENMINBI
174,BALD,HUTCHINGES,BHUTCHINGES4T@THEMEFOREST.NET,MALE,LEV
178,JESSE,PRATLEY,JPRATLEY4X@SCRIBD.COM,MALE,YUAN RENMINBI
181,KARALEE,MARCHAND,KMARCHAND50@USA.GOV,FEMALE,RUBLE
182,EWART,TEATHER,ETEATHER51@EZINEARTICLES.COM,MALE,DOLLAR
190,ORSA,MANNEVILLE,OMANNEVILLE59@LINKEDIN.COM,FEMALE,PESO
194,TOMASINA,ISAAKSOHN,TISAAKSOHN5D@COLUMBIA.EDU,FEMALE,SHEKEL
195,CULLEN,SPORNER,CSPORNER5E@GOOGLE.NL,MALE,KUNA
200,JOHNNY,VAAN,JVAAN5J@REFERENCE.COM,MALE,PESO
203,OREL,KNIBBS,OKNIBBS5M@HP.COM,FEMALE,YUAN RENMINBI
205,BETTE-ANN,SLAD,BSLAD5O@USA.GOV,FEMALE,SHEKEL
206,LANIE,ABRAHM,LABRAHM5P@USNEWS.COM,MALE,PESO
208,FAYETTE,CALLABY,FCALLABY5R@WEEBLY.COM,FEMALE,BAHT
209,PERICE,MALAMORE,PMALAMORE5S@FC2.COM,MALE,EURO
210,DUD,PENDRID,DPENDRID5T@CNBC.COM,MALE,WON
225,JEDIDIAH,FIDAL,JFIDAL68@EXAMINER.COM,MALE,YEN
226,GARTH,GUILLFORD,GGUILLFORD69@BING.COM,MALE,RUPIAH
228,KYRSTIN,COCKROFT,KCOCKROFT6B@GIZMODO.COM,FEMALE,ZLOTY
233,CELESTYN,ANDRINI,CANDRINI6G@FEMA.GOV,FEMALE,YUAN RENMINBI
236,LEWISS,CALBRATHE,LCALBRATHE6J@COM.COM,MALE,RUBLE
237,AILENE,CRISFORD,ACRISFORD6K@YANDEX.RU,FEMALE,EURO
239,GRIFFIE,RHODEF,GRHODEF6M@CONSTANTCONTACT.COM,MALE,RUPEE
242,FILIPPA,BINDON,FBINDON6P@DION.NE.JP,FEMALE,RUBLE
246,SHANDY,CRUFTS,SCRUFTS6T@SPHINN.COM,FEMALE,PESO
